Site,Country,State,City,Host,In service,Retired,Machine IPv4 prefix,Machine IPv6 prefix,Type of IPv6 connectivity,Transit provider
NUQ06,US,CA,San Jose,Equinix,10/1/2014,,128.177.109.128/26,2001:438:fffd:2d::/64,native,Zayo
ORD01,US,IL,Chicago,Google,03/20/09,,4.71.251.128/26,2001:1900:3001:B::/64,native,Level3
ORD02,US,IL,Chicago,Equinix,10/1/2014,,38.65.210.192/26,2001:550:1B01:1::/64,native,Cogent
ORD03,US,IL,Chicago,Equinix,10/1/2014,,66.198.24.64/26,2001:5a0:4400::/64,native,Tata
ORD04,US,IL,Chicago,Equinix,09/25/14,,173.205.3.192/26,2001:0668:001F:0020::/64,native,GTT
ORD05,US,IL,Chicago,Equinix,10/1/2014,,128.177.163.0/26,2001:438:fffd:2f::/64,native,Zayo
PAR01,FR,,Paris,Google,07/09/09,,80.239.168.192/26,2001:2030:0000:001A::/64,native,Telia
PRG01,CZ,,Prague,Google,12/5/2012,,212.162.51.64/26 ,2001:4c08:2003:4::/64,native,Level3
SEA01,US,WA,Seattle,Google,03/13/09,,38.102.0.64/26,2001:550:3200:1::/64 ,native,Cogent
SEA02,US,WA,Seattle,Equinix,09/25/14,,63.243.224.0/26,2001:5a0:4400::/64,native,Tata
SEA03,US,WA,Seattle,Equinix,09/25/14,,173.205.3.0/26,2001:0668:001F:001D::/64,native,GTT
SEA04,US,WA,Seattle,Equinix,01/05/15,,4.71.157.128/26,2001:1900:2100:16::/64,native,Level3
SEA05,US,WA,Seattle,Equinix,01/01/16,,64.3.225.64/26,2610:0018:0114:4001::/64,native,XO
SIN01,SG,,Changi,Google,1/30/2014,,180.87.97.64/26,2405:2000:301::/64,,Tata
SVG01,NO,,Sola,Altibox,,,81.167.39.0/26,2a01:798:0:13::/64,native,Altibox
SYD01,AU,,Sydney,AARNET,05/05/10,,203.5.76.128/26,2001:388:00d0::/64,native,AARNET
SYD02,AU,,Sydney,Vocus,5/14/2012,,175.45.79.0/26,2402:7800:0:12::/64,native,Vocus
TNR01,MG,,Antananarivo,Telecom Malagasy,4/14/2016,,41.188.12.64/26,,,Telecom Malagasy
TPE01,TW,,Taipei,,5/29/2012,,163.22.28.0/26,2001:e10:6840:28::/64,native,National Chi Nan University
TRN01,IT,,Turin,Topix,2/3/2012,,194.116.85.192/26,2001:7F8:23:307::/64,native,Topix
TUN01,TN,,Tunis,ATI,4/24/2013,,41.231.21.0/26,2c0f:fab0:ffff:1000::/64,native,ATI
VIE01,AT,,Vienna,RTR,5/10/2012,,213.208.152.0/26,2a01:190:1700:38::/64,,RTR
WLG01,NZ,,Wellington,Victoria University of Wellington,09/13/11,1/1/2016,103.10.233.0/26,2404:2000:3000::/64,native,Victoria University of Wellington
WLG02,NZ,,Wellington,Victoria University of Wellington,01/01/16,,163.7.129.64/26,2404:138:4009:1::/64,native,Victoria University of Wellington
YUL01,CA,,Montreal,CIRA,,,162.219.49.0/26,2620:10a:80fe::/48,native,Hurricane Electric
YYC01,CA,,Calgary,CIRA,9/1/2014,,162.219.50.0/26,2620:10a:80ff::/48,native,Hurricane Electric
YYZ01,CA,,Toronto,CIRA,,,162.219.48.0/26,2620:10a:80fd::/48,native,Hurricane Electric
