Site,Country,State,City,Host,In service,Retired,Machine IPv4 prefix,Machine IPv6 prefix,Type of IPv6 connectivity,Transit provider,Region,Site
LAX03,US,CA,Los Angeles,Equinix,09/25/14,,173.205.3.64/26,2001:0668:001F:001E::/64,native,GTT,North America,LAX03
LAX04,US,CA,Los Angeles,Equinix,12/17/14,,4.15.166.0/26,2001:1900:2100:15::/64,native,Level3,North America,LAX04
LAX05,US,CA,Los Angeles,Equinix,09/25/14,,128.177.109.192/26,2001:438:fffd:2e::/64,native,Zayo,North America,LAX05
LBA01,UK,,Leeds,aql,08/03/12,,109.239.110.0/26,2a00:1a80:1:8::/64,,aql,Europe,LBA01
LCA01,CY,,Nicosia,OCECPR,02/20/13,,82.116.199.0/26 ,,,CyNet,Europe,LCA01
LGA01,US,NY,New York,"Voxel
Internap",02/10/09,04/21/16,74.63.50.0/26,2001:48c8:5:f::/64,,Voxel,North America,LGA01
LGA02,US,NY,New York,Google,06/08/09,,38.106.70.128/26, 2001:550:1D00:100::/64 ,native,Cogent,North America,LGA02
LGA03,US,NY,New York,Equinix,05/05/15,,64.86.148.128/26,2001:5a0:4300::/64,native,Tata,North America,LGA03
LGA04,US,NY,New York,Equinix,09/25/14,,173.205.4.64/26,2001:0668:001F:0022::/64,native,GTT,North America,LGA04
LGA05,US,NY,New York,Equinix,11/14/14,,4.35.94.0/26,2001:1900:2100:14::/64,native,Level3,North America,LGA05
LGA06,US,NY,New York,Equinix,10/21/14,,128.177.119.192/26,2001:438:fffd:2b::/64,native,Zayo,North America,LGA06
LGA07,US,NY,New York,Google,,,66.151.223.128/26,2600:c0f:2002::/64,,Internap,North America,LGA07
LHR01,UK,,London,Google,06/04/09,,217.163.1.64/26,2001:4C08:2003:3::/64,native,Level3,Europe,LHR01
LJU01,SI,,Ljubljana,go6,08/03/12,,91.239.96.64/26,2001:67c:27e4:100::/64,native?,go6,Europe,LJU01
LOS01,NG,,Lagos,Nigeria IXP,1/15/2015,,196.216.149.64/26,,,Nigeria IXP,Africa,LOS01
MAD01,ES,,Madrid,Google,,,213.200.103.128/26,2001:0668:001F:0016::/64,native,Tinet,Europe,MAD01
MIA01,US,FL,Miami,Google,05/28/09,,4.71.210.192/26,2001:1900:3001:A::/64,native,Level3,North America,MIA01
MIA02,US,FL,Miami,Terremark,11/10/2014,,38.109.21.0/26,2001:550:6C01::/64,native,Cogent,North America,MIA02
MIA03,US,FL,Miami,Terremark,11/10/2014,,66.110.73.0/26,2001:5a0:3801::/64,native,Tata,North America,MIA03
MIA04,US,FL,Miami,Terremark,11/10/2014,,173.205.3.128/26,2001:0668:001F:001F::/64,native,GTT,North America,MIA04
MIA05,US,FL,Miami,Terremark,11/10/2014,,128.177.109.0/26,2001:438:FFFD:29::/64,native,Zayo,North America,MIA05
MIL01,IT,,Milan,Google,,, 213.200.99.192/26,2001:0668:001F:0017::/64,native,Tinet,Europe,MIL01
MNL01,PH,,Quezon City,PHOpenIX,,,202.90.156.0/26,2001:d18:0:35::/64,native,PHOpenIX,Asia,MNL01
NBO01,KE,,Nairobi,KENET,2/13/2013,,197.136.0.64/26,2C0F:FE08:13:64::/64,native,ubuntunet,Africa,NBO01
NUQ01,US,CA,Mountain View,Google,01/28/09,01/01/15,64.9.225.128/26,2604:ca00:f000::/64,native,Google,North America,NUQ01
NUQ02,US,CA,Redwood,ISC,10/26/2012,, 149.20.5.64/26,2001:4F8:1:1001::/64,native,ISC,North America,NUQ02
NUQ03,US,CA,San Jose,Equinix,10/1/2014,,38.102.163.128/26,2001:550:1502::/64,native,Cogent,North America,NUQ03
NUQ04,US,CA,San Jose,Equinix,09/25/14,,66.110.32.64/26,2001:5a0:3e00::/64,native,Tata,North America,NUQ04
NUQ05,US,CA,San Jose,Equinix,01/01/16,,216.156.85.192/26,2610:0018:0111:0007::/64,native,XO,North America,NUQ05
NUQ06,US,CA,San Jose,Equinix,10/1/2014,,128.177.109.128/26,2001:438:fffd:2d::/64,native,Zayo,North America,NUQ06
ORD01,US,IL,Chicago,Google,03/20/09,,4.71.251.128/26,2001:1900:3001:B::/64,native,Level3,North America,ORD01
ORD02,US,IL,Chicago,Equinix,10/1/2014,,38.65.210.192/26,2001:550:1B01:1::/64,native,Cogent,North America,ORD02
ORD03,US,IL,Chicago,Equinix,10/1/2014,,66.198.24.64/26,2001:5a0:4400::/64,native,Tata,North America,ORD03
ORD04,US,IL,Chicago,Equinix,09/25/14,,173.205.3.192/26,2001:0668:001F:0020::/64,native,GTT,North America,ORD04
ORD05,US,IL,Chicago,Equinix,10/1/2014,,128.177.163.0/26,2001:438:fffd:2f::/64,native,Zayo,North America,ORD05
PAR01,FR,,Paris,Google,07/09/09,,80.239.168.192/26,2001:2030:0000:001A::/64,native,Telia,Europe,PAR01
PRG01,CZ,,Prague,Google,12/5/2012,,212.162.51.64/26 ,2001:4c08:2003:4::/64,native,Level3,Europe,PRG01
SEA01,US,WA,Seattle,Google,03/13/09,,38.102.0.64/26,2001:550:3200:1::/64 ,native,Cogent,North America,SEA01
SEA02,US,WA,Seattle,Equinix,09/25/14,,63.243.224.0/26,2001:5a0:4400::/64,native,Tata,North America,SEA02
SEA03,US,WA,Seattle,Equinix,09/25/14,,173.205.3.0/26,2001:0668:001F:001D::/64,native,GTT,North America,SEA03
SEA04,US,WA,Seattle,Equinix,01/05/15,,4.71.157.128/26,2001:1900:2100:16::/64,native,Level3,North America,SEA04
SEA05,US,WA,Seattle,Equinix,01/01/16,,64.3.225.64/26,2610:0018:0114:4001::/64,native,XO,North America,SEA05
SIN01,SG,,Changi,Google,1/30/2014,,180.87.97.64/26,2405:2000:301::/64,,Tata,Asia,SIN01
SVG01,NO,,Sola,Altibox,,,81.167.39.0/26,2a01:798:0:13::/64,native,Altibox,Europe,SVG01
SYD01,AU,,Sydney,AARNET,05/05/10,,203.5.76.128/26,2001:388:00d0::/64,native,AARNET,Oceania,SYD01
SYD02,AU,,Sydney,Vocus,5/14/2012,,175.45.79.0/26,2402:7800:0:12::/64,native,Vocus,Oceania,SYD02
TNR01,MG,,Antananarivo,Telecom Malagasy,4/14/2016,,41.188.12.64/26,,,Telecom Malagasy,Africa,TNR01
TPE01,TW,,Taipei,,5/29/2012,,163.22.28.0/26,2001:e10:6840:28::/64,native,National Chi Nan University,Asia,TPE01
TRN01,IT,,Turin,Topix,2/3/2012,,194.116.85.192/26,2001:7F8:23:307::/64,native,Topix,Europe,TRN01
TUN01,TN,,Tunis,ATI,4/24/2013,,41.231.21.0/26,2c0f:fab0:ffff:1000::/64,native,ATI,Africa,TUN01
VIE01,AT,,Vienna,RTR,5/10/2012,,213.208.152.0/26,2a01:190:1700:38::/64,,RTR,Europe,VIE01
WLG01,NZ,,Wellington,Victoria University of Wellington,09/13/11,1/1/2016,103.10.233.0/26,2404:2000:3000::/64,native,Victoria University of Wellington,Oceania,WLG01
WLG02,NZ,,Wellington,Victoria University of Wellington,01/01/16,,163.7.129.64/26,2404:138:4009:1::/64,native,Victoria University of Wellington,Oceania,WLG02
YUL01,CA,,Montreal,CIRA,,,162.219.49.0/26,2620:10a:80fe::/48,native,Hurricane Electric,North America,YUL01
YYC01,CA,,Calgary,CIRA,9/1/2014,,162.219.50.0/26,2620:10a:80ff::/48,native,Hurricane Electric,North America,YYC01
YYZ01,CA,,Toronto,CIRA,,,162.219.48.0/26,2620:10a:80fd::/48,native,Hurricane Electric,North America,YYZ01
